5,2,0,2,1
8,2,1,2,2
1,4,1,2,1
6,4,1,2,2
1,7,1,2,1
3,7,1,2,1
8,6,1,2,1
9,7,1,2,1
2,1,3,2,1
2,2,3,2,2
2,3,3,2,1
3,2,3,2,1
1,5,3,2,1
2,6,3,2,2
8,1,3,2,2
7,2,3,2,2
9,2,3,2,2
8,3,3,2,3
6,1,4,2,2
5,2,4,2,2
6,3,4,2,2
7,5,4,2,2
3,9,4,2,2
9,8,4,2,3
8,1,5,2,2
2,4,5,2,4
3,7,5,2,2
3,7,5,2,2
4,6,5,2,2
7,1,6,2,4
7,3,6,2,3
7,5,6,2,4
7,8,6,2,3
5,1,7,2,2
4,4,7,2,3
1,4,7,2,2
1,5,7,2,2
5,6,7,2,3
8,6,7,2,2
3,9,7,2,2
2,1,8,2,4
2,5,8,2,3
3,5,8,2,3
4,5,8,2,3
6,1,8,2,4
7,1,8,2,4
7,6,8,2,4
9,9,8,2,4
1,2,9,2,5
2,1,9,2,5
2,2,9,2,5
5,3,9,2,4
7,3,9,2,4
8,4,9,2,4
4,5,9,2,5
3,6,9,2,5
6,6,9,2,5
2,9,9,2,5
4,9,9,2,5
5,3,10,2,6
